condition,method_scope,metric,n_condition_true,n_condition_false,mean_condition_true,mean_condition_false,median_condition_true,median_condition_false,mean_difference_true_minus_false
brier_worsened,reliability_gated_sfda,patient_l1_drift_mean,65,55,0.05341581629540546,0.023579714435468694,0.0616820856383542,0.007946030537184,0.029836101859936768
brier_worsened,reliability_gated_sfda,patient_l2_drift_mean,65,55,0.02549200337874518,0.010963993077764822,0.0288869657363741,0.003819079483746,0.014528010300980358
brier_worsened,reliability_gated_sfda,patient_cosine_similarity_mean,65,55,0.9999642002894177,0.9999583907249496,0.9999740368748374,0.9999840877127056,5.809564468051143e-06
brier_worsened,reliability_gated_sfda,patient_top3_overlap_mean,65,55,0.9962324298631953,0.9962292396487035,0.9966996699669968,1.0,3.190214491799459e-06
brier_worsened,reliability_gated_sfda,mean_absolute_probability_shift,65,55,0.00384376425533323,0.0017915522136536582,0.0041551936417818,0.0011971042892797,0.002052212041679572
brier_worsened,conservative_candidate,global_importance_spearman,31,89,0.999231950844854,0.9994649545211343,1.0,1.0,-0.0002330036762802079
brier_worsened,conservative_candidate,global_top3_overlap_fraction,31,89,1.0,1.0,1.0,1.0,0.0
brier_worsened,conservative_candidate,global_importance_relative_l1_drift,31,89,0.006414328294001481,0.004580050775560471,0.0048291337177317,0.0041842605379649,0.0018342775184410093
brier_worsened,conservative_candidate,patient_l1_drift_mean,31,89,0.011916518580725283,0.013129595551600669,0.0139329239661065,0.01611746667199,-0.0012130769708753857
brier_worsened,conservative_candidate,patient_l2_drift_mean,31,89,0.005643341062904594,0.00638547635194589,0.0065033392438214,0.0079713231781388,-0.0007421352890412958
brier_worsened,conservative_candidate,patient_cosine_similarity_mean,31,89,0.9999788904008848,0.9999816169660887,0.9999832459030312,0.9999864156825072,-2.7265652038366284e-06
brier_worsened,conservative_candidate,patient_top3_overlap_mean,31,89,0.9966936128173423,0.9978471815336073,0.9972899728997288,0.9983333333333334,-0.001153568716265041
brier_worsened,conservative_candidate,mean_absolute_probability_shift,31,89,0.0011531214491984905,0.001588422546798428,0.0013215540856024,0.0018258633054032,-0.0004353010975999376
