source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,switzerland,cleveland -> switzerland,6,conservative_candidate,-0.001086956521739,True,0.9761904761904764,1.0,0.0077683194350412,0.0195385769329732,0.0097812798331176,0.9999900547472038,0.9972899728997288,0.0016255428242247
cleveland,switzerland,cleveland -> switzerland,7,pseudo_label_sfda,0.0,False,0.9761904761904764,1.0,0.0581113799726771,0.138734034337605,0.065441838667821,0.9997063543340918,0.991869918699187,0.0133028031228397
cleveland,switzerland,cleveland -> switzerland,7,entropy_sfda,0.0021739130434782,False,0.9523809523809524,1.0,0.0887262628849052,0.2132902907006957,0.1029970495389187,0.9988897921765236,0.964769647696477,0.0242633004483532
cleveland,switzerland,cleveland -> switzerland,7,reliability_gated_sfda,0.0021739130434783,False,1.0,1.0,0.0212206752351516,0.0515630744933339,0.023975867558271,0.9999220557370484,0.989159891598916,0.0039333172172792
cleveland,switzerland,cleveland -> switzerland,7,conservative_candidate,0.0,False,1.0,1.0,0.0110920482125921,0.0260980901179638,0.01223023947848,0.9999870662875748,1.0,0.0022343319075984
cleveland,switzerland,cleveland -> switzerland,8,pseudo_label_sfda,-0.0010869565217391,True,1.0,1.0,0.0414065834517704,0.1166003721435384,0.0581088059379534,0.9997006138012317,0.991869918699187,0.0232188773712491
cleveland,switzerland,cleveland -> switzerland,8,entropy_sfda,-0.0021739130434782,True,0.9761904761904764,0.6666666666666666,0.0574967034470023,0.1626532364118943,0.0819839566346424,0.9992429833476034,0.978319783197832,0.0252127896964065
cleveland,switzerland,cleveland -> switzerland,8,reliability_gated_sfda,1.1102230246251563e-16,False,1.0,1.0,0.0205546596045991,0.0542495096868048,0.0249135020490002,0.9999586344290664,0.994579945799458,0.0035202198215131
cleveland,switzerland,cleveland -> switzerland,8,conservative_candidate,0.0010869565217391,False,1.0,1.0,0.0078884140787139,0.0239938317520763,0.0115955921567622,0.9999801587387152,1.0,0.0030548745705708
cleveland,switzerland,cleveland -> switzerland,9,pseudo_label_sfda,0.0,False,1.0,1.0,0.0522390614855919,0.1412189503581778,0.0685302275840685,0.9997401702663172,0.991869918699187,0.0174439352278302
cleveland,switzerland,cleveland -> switzerland,9,entropy_sfda,-0.0010869565217391,True,0.9761904761904764,0.6666666666666666,0.0435613596050011,0.1689904043602386,0.0863304243171086,0.9983232313609922,0.962059620596206,0.034473217493756
cleveland,switzerland,cleveland -> switzerland,9,reliability_gated_sfda,0.0,False,1.0,1.0,0.0222982870638068,0.0630466963696422,0.028615304101634,0.9999235496116476,0.991869918699187,0.0042819476315403
cleveland,switzerland,cleveland -> switzerland,9,conservative_candidate,-0.0010869565217391,True,1.0,1.0,0.0089654811805967,0.0267672044597944,0.0124799805364008,0.9999718751845956,1.0,0.0040588948300214
cleveland,va_long_beach,cleveland -> va_long_beach,0,pseudo_label_sfda,-0.0013159626266613,True,0.9761904761904764,0.6666666666666666,0.1023406559885055,0.2672793768731207,0.125432535665482,0.9989284654473504,0.9883333333333334,0.0320663169026374
cleveland,va_long_beach,cleveland -> va_long_beach,0,entropy_sfda,-0.0039478878799842,True,0.9761904761904764,0.6666666666666666,0.0939360502951108,0.2665481360998091,0.1337901382348394,0.9978206745230424,0.97,0.0374407254904508
cleveland,va_long_beach,cleveland -> va_long_beach,0,reliability_gated_sfda,0.0005263850506646,False,1.0,1.0,0.0232472103777742,0.0598587629099347,0.0281865216591642,0.9999761769133586,1.0,0.0041551936417818
cleveland,va_long_beach,cleveland -> va_long_beach,0,conservative_candidate,-0.0001315962626661,True,1.0,1.0,0.0066336443693214,0.0195841742290212,0.0092833851581018,0.9999832283903836,0.9983333333333334,0.0023179277777671
cleveland,va_long_beach,cleveland -> va_long_beach,1,pseudo_label_sfda,-0.002895117778655,True,1.0,1.0,0.1095748565361559,0.2532571290159831,0.1215112382823552,0.9997268347628488,0.9883333333333334,0.0288966327160596
cleveland,va_long_beach,cleveland -> va_long_beach,1,entropy_sfda,-0.0007895775759967,True,1.0,1.0,0.1277733319228267,0.2997430845310737,0.1488368993607121,0.999245653128566,0.98,0.0391362059488892
cleveland,va_long_beach,cleveland -> va_long_beach,1,reliability_gated_sfda,0.0011843663639953,False,1.0,1.0,0.0257060181974887,0.060534022693173,0.0288869657363741,0.9999740368748374,0.995,0.0042158925160765
cleveland,va_long_beach,cleveland -> va_long_beach,1,conservative_candidate,-0.0010527701013289,True,1.0,1.0,0.0020061931071516,0.0097157378011616,0.0045572444966251,0.999993470223658,1.0,0.0010355508327484
cleveland,va_long_beach,cleveland -> va_long_beach,2,pseudo_label_sfda,0.000921173838663,False,0.9761904761904764,1.0,0.0948176020810669,0.2449143510824069,0.1204736799421047,0.9991436840389906,0.9833333333333334,0.0326228132843971
cleveland,va_long_beach,cleveland -> va_long_beach,2,entropy_sfda,0.0002631925253323,False,0.9523809523809524,1.0,0.0974999553942535,0.2625177292533044,0.1332926475280934,0.9986370973198756,0.98,0.0355624696984887
cleveland,va_long_beach,cleveland -> va_long_beach,2,reliability_gated_sfda,0.0006579813133308,False,1.0,1.0,0.024029991339589,0.0603681068523656,0.028501075062694,0.9999805466391216,0.9966666666666666,0.0039342405647039
cleveland,va_long_beach,cleveland -> va_long_beach,2,conservative_candidate,0.0001315962626661,False,1.0,1.0,0.0083130986311671,0.023932519449736,0.011009501406324,0.9999809524521536,0.9966666666666668,0.0031607455387711
cleveland,va_long_beach,cleveland -> va_long_beach,3,pseudo_label_sfda,0.0032899065666535,False,1.0,1.0,0.071554051075301,0.1971233487481367,0.0904929113256035,0.9995608314715514,0.9866666666666666,0.0294534835964441
cleveland,va_long_beach,cleveland -> va_long_beach,3,entropy_sfda,0.00579023555731,False,1.0,1.0,0.0853944117484789,0.2374564099569761,0.116409773584832,0.998890031583822,0.9783333333333332,0.0296655047126114
cleveland,va_long_beach,cleveland -> va_long_beach,3,reliability_gated_sfda,0.0006579813133306,False,1.0,1.0,0.0201427140036745,0.0510583356446295,0.0237325134590783,0.999989006045372,0.9983333333333334,0.0033155769482254
cleveland,va_long_beach,cleveland -> va_long_beach,3,conservative_candidate,0.0019739439399921,False,1.0,1.0,0.0070871201722123,0.0197946107183815,0.0092760242004737,0.9999864479875538,0.9966666666666666,0.0030021378397941
