source,target,seed,model_state,feature,mean_abs_shap,importance_rank
cleveland,hungary,9,reliability_gated_sfda,thalach,0.5412561292411621,3
cleveland,hungary,9,reliability_gated_sfda,exang,0.4260426412152798,5
cleveland,hungary,9,reliability_gated_sfda,oldpeak,0.5181870437195512,4
cleveland,hungary,9,source_only,age,0.1674915222422581,6
cleveland,hungary,9,source_only,sex,0.7051383519076369,2
cleveland,hungary,9,source_only,cp,0.7518387329337016,1
cleveland,hungary,9,source_only,trestbps,0.1433880642938687,7
cleveland,hungary,9,source_only,restecg,0.09823099739804422,8
cleveland,hungary,9,source_only,thalach,0.5281447594871327,3
cleveland,hungary,9,source_only,exang,0.41359232831112785,5
cleveland,hungary,9,source_only,oldpeak,0.5054444920296978,4
cleveland,switzerland,0,conservative_candidate,age,0.058662592016001436,8
cleveland,switzerland,0,conservative_candidate,sex,0.229843089175297,6
cleveland,switzerland,0,conservative_candidate,cp,0.6027291633162224,1
cleveland,switzerland,0,conservative_candidate,trestbps,0.2853818512502755,5
cleveland,switzerland,0,conservative_candidate,restecg,0.1485766497198341,7
cleveland,switzerland,0,conservative_candidate,thalach,0.5666035078806666,2
