source,target,seed,model_state,feature,mean_abs_shap,importance_rank,importance_fraction,top3
cleveland,hungary,6,pseudo_label_sfda,trestbps,0.2042610554395205,6,0.05570934697645488,False
cleveland,hungary,6,pseudo_label_sfda,restecg,0.0560820324652903,8,0.015295590238829128,False
cleveland,hungary,6,pseudo_label_sfda,thalach,0.6825986188031784,2,0.18616922946339395,True
cleveland,hungary,6,pseudo_label_sfda,exang,0.4630419088869679,5,0.12628820658601733,False
cleveland,hungary,6,pseudo_label_sfda,oldpeak,0.583559650553986,4,0.1591577355958417,False
cleveland,hungary,6,reliability_gated_sfda,age,0.1197712787508775,7,0.038320344357334744,False
cleveland,hungary,6,reliability_gated_sfda,sex,0.5837519629826756,2,0.18676911922510775,True
cleveland,hungary,6,reliability_gated_sfda,cp,0.7336725001888615,1,0.23473559893454785,True
cleveland,hungary,6,reliability_gated_sfda,trestbps,0.1738254514825372,6,0.05561476197256687,False
cleveland,hungary,6,reliability_gated_sfda,restecg,0.0482655065003496,8,0.015442356873567441,False
cleveland,hungary,6,reliability_gated_sfda,thalach,0.5827077024704999,3,0.1864350122268133,True
cleveland,hungary,6,reliability_gated_sfda,exang,0.3875911691967322,5,0.1240082533006433,False
cleveland,hungary,6,reliability_gated_sfda,oldpeak,0.4959416323069001,4,0.1586745531094187,False
cleveland,hungary,6,source_only,age,0.1143811744919222,7,0.037422873908003945,False
cleveland,hungary,6,source_only,sex,0.5763112931658013,2,0.18855572126884912,True
cleveland,hungary,6,source_only,cp,0.7180624363728526,1,0.23493341569379594,True
cleveland,hungary,6,source_only,trestbps,0.1682130479127909,6,0.05503541740748575,False
cleveland,hungary,6,source_only,restecg,0.0477214023231514,8,0.01561333873152826,False
cleveland,hungary,6,source_only,thalach,0.5701820731343588,3,0.18655038228356632,True
cleveland,hungary,6,source_only,exang,0.376614173658851,5,0.1232194440685484,False
cleveland,hungary,6,source_only,oldpeak,0.4849652416281858,4,0.15866940663822227,False
cleveland,hungary,7,conservative_candidate,age,0.1521596428680828,7,0.046849160597050195,False
cleveland,hungary,7,conservative_candidate,sex,0.6728183083540323,2,0.20715724870648716,True
cleveland,hungary,7,conservative_candidate,cp,0.7081179439310105,1,0.21802582242939572,True
cleveland,hungary,7,conservative_candidate,trestbps,0.1788137624373653,6,0.055055825023549235,False
cleveland,hungary,7,conservative_candidate,restecg,0.064560917253229,8,0.019877969767000833,False
cleveland,hungary,7,conservative_candidate,thalach,0.5736158194977056,3,0.17661331968263685,True
cleveland,hungary,7,conservative_candidate,exang,0.3924652047163876,5,0.12083799000798674,False
