source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
va_long_beach,cleveland,3,33,reliability_gated_sfda,0.5676567656765676,0.5984163888401474,0.5152671755725191,0.9712230215827338,0.22560975609756098,0.6733167082294265,0.28673728671547283,0.8182137217055624,0.8155927982411391,0.23490072388198474,37,127,4,135
va_long_beach,cleveland,3,33,conservative_candidate,0.5676567656765676,0.5984163888401474,0.5152671755725191,0.9712230215827338,0.22560975609756098,0.6733167082294265,0.28673728671547283,0.8184330584313037,0.8155622854733338,0.23482379596042716,37,127,4,135
va_long_beach,hungary,3,33,source_only,0.6598639455782312,0.7175832998795664,0.5157894736842106,0.9245283018867925,0.5106382978723404,0.6621621621621622,0.43701258291619594,0.8575873143315936,0.7909348687525564,0.21368785202503204,96,92,8,98
va_long_beach,hungary,3,33,pseudo_label_sfda,0.6598639455782312,0.7175832998795664,0.5157894736842106,0.9245283018867925,0.5106382978723404,0.6621621621621622,0.43701258291619594,0.8575873143315936,0.7909348687525564,0.21368784308007616,96,92,8,98
va_long_beach,hungary,3,33,entropy_sfda,0.46598639455782315,0.5803894018466479,0.40229885057471265,0.9905660377358491,0.1702127659574468,0.5722070844686649,0.24455887422497552,0.8797671617824168,0.8110503705379098,0.2583620747113725,32,156,1,105
va_long_beach,hungary,3,33,reliability_gated_sfda,0.6496598639455783,0.7075471698113207,0.5078534031413613,0.9150943396226415,0.5,0.6531986531986532,0.4177758894571904,0.8581894821356885,0.7924039173836247,0.2128613662328669,94,94,9,97
va_long_beach,hungary,3,33,conservative_candidate,0.6530612244897959,0.7122641509433962,0.5104166666666666,0.9245283018867925,0.5,0.6577181208053692,0.4282405671486896,0.8574869530309114,0.7911316313333919,0.21449338074912758,94,94,8,98
va_long_beach,switzerland,3,33,source_only,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.6967391304347826,0.9686952495758178,0.1292238086462021,4,4,13,102
va_long_beach,switzerland,3,33,pseudo_label_sfda,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.6967391304347826,0.9686952495758178,0.12922380370277267,4,4,13,102
va_long_beach,switzerland,3,33,entropy_sfda,0.8943089430894309,0.5364130434782608,0.9396551724137931,0.9478260869565217,0.125,0.9437229437229437,0.07751805626371909,0.7108695652173913,0.9701667535898889,0.10621287086072398,1,7,6,109
va_long_beach,switzerland,3,33,reliability_gated_sfda,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.6978260869565217,0.9688878443083518,0.1279826788383305,4,4,13,102
va_long_beach,switzerland,3,33,conservative_candidate,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.6967391304347826,0.9686952495758178,0.12851331081535416,4,4,13,102
va_long_beach,cleveland,4,33,source_only,0.5412541254125413,0.573477803123355,0.5,0.9640287769784173,0.18292682926829268,0.6584766584766585,0.2290941838810202,0.8392700473767327,0.837479220567086,0.21838010847568512,30,134,5,134
va_long_beach,cleveland,4,33,pseudo_label_sfda,0.5214521452145214,0.5557334620108791,0.4891304347826087,0.9712230215827338,0.1402439024390244,0.6506024096385542,0.1949570379264334,0.839313914721881,0.8369703741703423,0.2207745236982084,23,141,4,135
va_long_beach,cleveland,4,33,entropy_sfda,0.45874587458745875,0.5,0.45874587458745875,1.0,0.0,0.6289592760180995,0.0,0.8465520266713458,0.8384530086097695,0.252543445910074,0,164,0,139
va_long_beach,cleveland,4,33,reliability_gated_sfda,0.5445544554455446,0.5770749254255132,0.5018587360594795,0.9712230215827338,0.18292682926829268,0.6617647058823529,0.24336427992033763,0.8399280575539568,0.8375745947115703,0.21891694203546397,30,134,4,135
va_long_beach,cleveland,4,33,conservative_candidate,0.5412541254125413,0.5740261449377083,0.5,0.9712230215827338,0.17682926829268292,0.6601466992665037,0.23681303349181873,0.8390507106509913,0.8370617863252532,0.21857853912746322,29,135,4,135
va_long_beach,hungary,4,33,source_only,0.6360544217687075,0.7071959052589322,0.4975609756097561,0.9622641509433962,0.4521276595744681,0.6559485530546624,0.43308295105147115,0.8844841429144921,0.8251596797453873,0.22022663056850433,85,103,4,102
va_long_beach,hungary,4,33,pseudo_label_sfda,0.6326530612244898,0.704536330790847,0.49514563106796117,0.9622641509433962,0.44680851063829785,0.6538461538461539,0.42890130482599537,0.8869429947812124,0.8329142610231878,0.22070366071464573,84,104,4,102
va_long_beach,hungary,4,33,entropy_sfda,0.36394557823129253,0.5026595744680851,0.36177474402730375,1.0,0.005319148936170213,0.531328320802005,0.04386722859750868,0.8944700923323967,0.8388898025970405,0.25649492824845255,1,187,0,106
va_long_beach,hungary,4,33,reliability_gated_sfda,0.6326530612244898,0.704536330790847,0.49514563106796117,0.9622641509433962,0.44680851063829785,0.6538461538461539,0.42890130482599537,0.8860899237254114,0.8273601431004234,0.2212981051497766,84,104,4,102
va_long_beach,hungary,4,33,conservative_candidate,0.6326530612244898,0.704536330790847,0.49514563106796117,0.9622641509433962,0.44680851063829785,0.6538461538461539,0.42890130482599537,0.8842834203131272,0.825038438550298,0.22084364422506775,84,104,4,102
va_long_beach,switzerland,4,33,source_only,0.9105691056910569,0.6614130434782608,0.956140350877193,0.9478260869565217,0.375,0.9519650655021834,0.3056953659291748,0.6891304347826088,0.9653122363505396,0.12175613641738892,3,5,6,109
