source,target,seed,method,fold,adapt_n,test_n,missingness_rate,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after,selected_per_class,available_positive,available_negative,teacher_positive_rate,class_support_score,reliability_score,mean_abs_teacher_drift,reliability_mode,missingness_factor,teacher_drift
switzerland,va_long_beach,0,entropy_sfda,5,160,40,0.14765625,,,,,,,0.22658321261405945,0.16303591430187225,0.9336898922920227,0.9572492837905884,1.0,1.0,0.9336898922920227,0.9572492837905884,,,,,,,,,,
switzerland,va_long_beach,0,reliability_gated_sfda,1,160,40,0.13984375,0.0,0.0,,,0.0,True,0.22924093902111053,0.22924093902111053,0.9326567649841309,0.9326567649841309,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,va_long_beach,0,reliability_gated_sfda,2,160,40,0.13828125000000002,0.0,0.0,,,0.0,True,0.22671881318092346,0.22671881318092346,0.9335061311721802,0.9335061311721802,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,va_long_beach,0,reliability_gated_sfda,3,160,40,0.12578125,0.0,0.0,,,0.0,True,0.21806195378303528,0.21806195378303528,0.9378126859664917,0.9378126859664917,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,va_long_beach,0,reliability_gated_sfda,4,160,40,0.1328125,0.0,0.0,,,0.0,True,0.2214016616344452,0.2214016616344452,0.9360302090644836,0.9360302090644836,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,va_long_beach,0,reliability_gated_sfda,5,160,40,0.14765625,0.0,0.0,,,0.0,True,0.22658321261405945,0.22658321261405945,0.9336898922920227,0.9336898922920227,1.0,1.0,,,0.0,160.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,va_long_beach,0,conservative_candidate,1,160,40,0.13984375,0.0,,,,0.0,True,0.22924093902111053,0.22924093902111053,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.86015625,0.0
switzerland,va_long_beach,0,conservative_candidate,2,160,40,0.13828125000000002,0.0,,,,0.0,True,0.22671881318092346,0.22671881318092346,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.86171875,0.0
switzerland,va_long_beach,0,conservative_candidate,3,160,40,0.12578125,0.0,,,,0.0,True,0.21806195378303528,0.21806195378303528,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.87421875,0.0
switzerland,va_long_beach,0,conservative_candidate,4,160,40,0.1328125,0.0,,,,0.0,True,0.2214016616344452,0.2214016616344452,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.8671875,0.0
