source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,source_roc_auc,source_pr_auc,source_balanced_accuracy,source_brier,delta_roc_auc,delta_pr_auc,delta_balanced_accuracy,brier_improvement,negative_adaptation_auc,brier_worsened
cleveland,va_long_beach,2,34,reliability_gated_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.713843926832478,0.879923403332293,0.18063908318802718,23,28,21,128,0.7131859455191472,0.8797158234462253,0.6550203974207133,0.17956161499023438,0.0006579813133308354,0.00020757988606767697,0.0,-0.001077468197792808,False,True
cleveland,va_long_beach,2,34,conservative_candidate,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7133175417818133,0.8796915089838379,0.17898260846007447,23,28,20,129,0.7131859455191472,0.8797158234462253,0.6550203974207133,0.17956161499023438,0.00013159626266612268,-2.4314462387486913e-05,0.003355704697986517,0.000579006530159909,False,False
cleveland,hungary,3,34,pseudo_label_sfda,0.8095238095238095,0.7934564431955038,0.7358490566037735,0.7358490566037735,0.851063829787234,0.7358490566037735,0.5869128863910076,0.8718386190285026,0.8262081289065247,0.14269177224956753,160,28,28,78,0.8740465676435166,0.8285416486673262,0.7925030108390205,0.14281512796878815,-0.002207948615014055,-0.002333519760801428,0.0009534323564832636,0.00012335571922061916,True,False
cleveland,hungary,3,34,entropy_sfda,0.8197278911564626,0.8014351665997591,0.7572815533980582,0.7358490566037735,0.8670212765957447,0.7464114832535885,0.6067649342285645,0.8706844640706544,0.8234590773385897,0.14197815197262234,163,25,28,78,0.8740465676435166,0.8285416486673262,0.7925030108390205,0.14281512796878815,-0.003362103572862263,-0.005082571328736463,0.00893215576073858,0.0008369759961658063,True,False
cleveland,hungary,3,34,reliability_gated_sfda,0.7959183673469388,0.7951625853071056,0.6885245901639344,0.7924528301886793,0.7978723404255319,0.7368421052631579,0.5752796609400899,0.8737956643918104,0.8272441622917287,0.14309372271997364,150,38,22,84,0.8740465676435166,0.8285416486673262,0.7925030108390205,0.14281512796878815,-0.00025090325170618044,-0.0012974863755974564,0.0026595744680850686,-0.0002785947511854958,True,True
cleveland,hungary,3,34,conservative_candidate,0.7959183673469388,0.7951625853071056,0.6885245901639344,0.7924528301886793,0.7978723404255319,0.7368421052631579,0.5752796609400899,0.8736451224407868,0.8270651646420614,0.14283065186450408,150,38,22,84,0.8740465676435166,0.8285416486673262,0.7925030108390205,0.14281512796878815,-0.0004014452027297777,-0.0014764840252647904,0.0026595744680850686,-1.5523895715935376e-05,True,True
cleveland,switzerland,3,34,pseudo_label_sfda,0.7886178861788617,0.6543478260869565,0.9587628865979382,0.808695652173913,0.5,0.8773584905660378,0.1864454911778977,0.7608695652173912,0.9802090542288016,0.1452732507842151,4,4,22,93,0.7608695652173912,0.9802214693525183,0.6456521739130434,0.15165184438228607,0.0,-1.2415123716746912e-05,0.008695652173913104,0.00637859359807097,False,False
cleveland,switzerland,3,34,entropy_sfda,0.7967479674796748,0.6586956521739131,0.9591836734693877,0.8173913043478261,0.5,0.8826291079812206,0.1944938600044083,0.7630434782608696,0.9804032626936867,0.14537292015819725,4,4,21,94,0.7608695652173912,0.9802214693525183,0.6456521739130434,0.15165184438228607,0.0021739130434783593,0.0001817933411684125,0.013043478260869712,0.006278924224088822,False,False
cleveland,switzerland,3,34,reliability_gated_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7608695652173912,0.9802214693525183,0.1546204463546645,4,4,24,91,0.7608695652173912,0.9802214693525183,0.6456521739130434,0.15165184438228607,0.0,0.0,0.0,-0.002968601972378415,False,True
cleveland,switzerland,3,34,conservative_candidate,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7608695652173912,0.9802214693525183,0.1496882512063817,4,4,23,92,0.7608695652173912,0.9802214693525183,0.6456521739130434,0.15165184438228607,0.0,0.0,0.004347826086956608,0.00196359317590436,False,False
