seed,target,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
8,hungary,reliability_gated_sfda,0.8095238095238095,0.8016860698514653,0.7192982456140351,0.7735849056603774,0.8297872340425532,0.7454545454545455,0.5946048292047812,0.8755018065034124,0.8330151666150145,0.13995413953522665,156,32,24,82
8,switzerland,source_only,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7597826086956522,0.9800655180821114,0.15335696935653687,4,4,23,92
8,switzerland,pseudo_label_sfda,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7619565217391304,0.9803668578660949,0.1471578717373327,4,4,23,92
8,switzerland,entropy_sfda,0.7723577235772358,0.5875,0.9484536082474226,0.8,0.375,0.8679245283018868,0.10569621154803355,0.7619565217391304,0.9803437967615121,0.14362211808510542,3,5,23,92
8,switzerland,reliability_gated_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7597826086956522,0.9800929620758947,0.15547681703587937,4,4,24,91
8,va_long_beach,source_only,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7285827082510857,0.8809344165520648,0.17635402083396912,23,28,21,128
8,va_long_beach,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.727924726937755,0.8806386584594228,0.1766065460956677,23,28,21,128
8,va_long_beach,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7256875904724306,0.8788530993575285,0.17797884129206998,23,28,21,128
8,va_long_beach,reliability_gated_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7285827082510857,0.8809976001582595,0.17726552482829075,23,28,21,128
9,hungary,source_only,0.826530612244898,0.8149839421918909,0.7522935779816514,0.7735849056603774,0.8563829787234043,0.7627906976744186,0.6262549244334041,0.884684865515857,0.8409397761423213,0.13037876784801483,161,27,24,82
9,hungary,pseudo_label_sfda,0.8231292517006803,0.8040947410678443,0.7647058823529411,0.7358490566037735,0.8723404255319149,0.75,0.6135077628654985,0.8840826977117623,0.8392392901188672,0.1306574592816429,164,24,28,78
9,hungary,entropy_sfda,0.826530612244898,0.8005820955439582,0.7894736842105263,0.7075471698113207,0.8936170212765957,0.746268656716418,0.6172152101735431,0.88358089120835,0.8376983390393219,0.13010423155804696,168,20,31,75
9,hungary,reliability_gated_sfda,0.826530612244898,0.8149839421918909,0.7522935779816514,0.7735849056603774,0.8563829787234043,0.7627906976744186,0.6262549244334041,0.8843837816138097,0.8407710277886786,0.13059831670332167,161,27,24,82
9,switzerland,source_only,0.7642276422764228,0.6994565217391304,0.967391304347826,0.7739130434782608,0.625,0.8599033816425121,0.22656738387899214,0.7456521739130435,0.9769063534076969,0.16420753300189972,5,3,26,89
9,switzerland,pseudo_label_sfda,0.7642276422764228,0.6994565217391304,0.967391304347826,0.7739130434782608,0.625,0.8599033816425121,0.22656738387899214,0.7456521739130435,0.9768569091718102,0.1583857734904027,5,3,26,89
9,switzerland,entropy_sfda,0.7886178861788617,0.7125,0.968421052631579,0.8,0.625,0.8761904761904762,0.24994360266123677,0.7434782608695653,0.9767170861666529,0.14789894544086574,5,3,23,92
9,switzerland,reliability_gated_sfda,0.7560975609756098,0.6951086956521739,0.967032967032967,0.7652173913043478,0.625,0.8543689320388349,0.21933343973927985,0.7434782608695653,0.9766967798239368,0.16745832194900237,5,3,27,88
9,va_long_beach,source_only,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7402947756283722,0.8888956119572048,0.17817142605781555,23,28,22,127
