source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n
switzerland,va_long_beach,conservative_candidate,brier_improvement,5.384016732445929e-10,-1.0287533736691446e-09,2.091615934340929e-09,True,0.758,10,200,149,51
switzerland,va_long_beach,conservative_candidate,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,200,149,51
va_long_beach,cleveland,pseudo_label_sfda,delta_roc_auc,-0.00026759080540449397,-0.0012020749254255353,0.0006536234427091842,True,0.2744,10,303,139,164
va_long_beach,cleveland,pseudo_label_sfda,brier_improvement,-0.002583261666733394,-0.0037232447645407893,-0.0014129478462535073,False,0.0,10,303,139,164
va_long_beach,cleveland,pseudo_label_sfda,delta_balanced_accuracy,-0.011366029127917187,-0.020515112300403576,-0.003907977276715228,False,0.0004,10,303,139,164
va_long_beach,cleveland,entropy_sfda,delta_roc_auc,-0.003478680470257989,-0.012204114756974974,0.0044094358659413834,True,0.1992,10,303,139,164
va_long_beach,cleveland,entropy_sfda,brier_improvement,-0.05213534125812177,-0.06169485249362906,-0.04279157229293806,False,0.0,10,303,139,164
va_long_beach,cleveland,entropy_sfda,delta_balanced_accuracy,-0.11017283733988417,-0.1534045994911388,-0.07095109887699602,False,0.0,10,303,139,164
va_long_beach,cleveland,reliability_gated_sfda,delta_roc_auc,0.00016669591156341922,-0.0003991928408492496,0.0007634014739428469,True,0.7266,10,303,139,164
va_long_beach,cleveland,reliability_gated_sfda,brier_improvement,0.00012837671623342484,-0.0002776343696106277,0.0005869232039507029,True,0.7234,10,303,139,164
va_long_beach,cleveland,reliability_gated_sfda,delta_balanced_accuracy,0.0009694683277768013,-0.003658536585365857,0.005487804878048774,True,0.7014,10,303,139,164
va_long_beach,cleveland,conservative_candidate,delta_roc_auc,-2.193367257413703e-05,-0.0005265178101421571,0.0005351816108089435,True,0.4566,10,303,139,164
va_long_beach,cleveland,conservative_candidate,brier_improvement,0.00026805631155271404,-5.072831010931901e-05,0.0006081242524946067,True,0.9478,10,303,139,164
va_long_beach,cleveland,conservative_candidate,delta_balanced_accuracy,0.0006645902789963132,-0.0045197074048078665,0.005402263555009645,True,0.6496,10,303,139,164
va_long_beach,hungary,pseudo_label_sfda,delta_roc_auc,0.0008781613809714983,0.0,0.0021928944199116956,True,0.9704,10,294,106,188
va_long_beach,hungary,pseudo_label_sfda,brier_improvement,-0.0005150223221077083,-0.0010815926279024227,-9.59848245950286e-05,False,0.0018,10,294,106,188
va_long_beach,hungary,pseudo_label_sfda,delta_balanced_accuracy,-0.004847450822962673,-0.012090024086712177,0.0,True,0.0142,10,294,106,188
va_long_beach,hungary,entropy_sfda,delta_roc_auc,0.006674026495383423,-0.0015507075471697922,0.015540947410678439,True,0.9426,10,294,106,188
va_long_beach,hungary,entropy_sfda,brier_improvement,-0.04227377735370461,-0.05148883356815108,-0.032810647330237294,False,0.0,10,294,106,188
va_long_beach,hungary,entropy_sfda,delta_balanced_accuracy,-0.1358089120835006,-0.18854375752709757,-0.08440385387394624,False,0.0,10,294,106,188
