seed,target,method,roc_auc,pr_auc,balanced_accuracy,brier,source_roc_auc,source_brier,delta_roc_auc,brier_improvement,negative_adaptation
1,switzerland,entropy_sfda,0.7521739130434782,0.9775914559514184,0.65,0.1422897639436348,0.75,0.1563877165317535,0.0021739130434782483,0.014097952588118717,False
1,switzerland,reliability_gated_sfda,0.75,0.9772985694051496,0.6326086956521739,0.1587823443074174,0.75,0.1563877165317535,0.0,-0.0023946277756638767,False
1,va_long_beach,source_only,0.7381892354257139,0.8897648051480783,0.6516646927227266,0.1753191351890564,0.7381892354257139,0.1753191351890564,0.0,0.0,False
1,va_long_beach,pseudo_label_sfda,0.7352941176470589,0.8883004922139415,0.6452164758520857,0.1753080979252165,0.7381892354257139,0.1753191351890564,-0.002895117778655032,1.1037263839885902e-05,True
1,va_long_beach,entropy_sfda,0.7352941176470589,0.8883228979135769,0.6452164758520857,0.1746911356868793,0.7381892354257139,0.1753191351890564,-0.002895117778655032,0.0006279995021770957,True
1,va_long_beach,reliability_gated_sfda,0.73832083168838,0.88987922017518,0.6516646927227266,0.1760444963927568,0.7381892354257139,0.1753191351890564,0.00013159626266612268,-0.0007253612037003976,False
2,hungary,source_only,0.878061019670815,0.8272314302506516,0.8016860698514653,0.1349492967128753,0.878061019670815,0.1349492967128753,0.0,0.0,False
2,hungary,pseudo_label_sfda,0.8773584905660378,0.8271185529065512,0.7967181854676837,0.1349193419525349,0.878061019670815,0.1349492967128753,-0.0007025291047771942,2.9954760340400455e-05,True
2,hungary,entropy_sfda,0.8764050582095544,0.8241138192846675,0.7852268165395424,0.1343748691232599,0.878061019670815,0.1349492967128753,-0.0016559614612605689,0.0005744275896154005,True
2,hungary,reliability_gated_sfda,0.8780610196708151,0.8267955135915095,0.8070052187876355,0.1349879722993766,0.878061019670815,0.1349492967128753,1.1102230246251565e-16,-3.867558650128e-05,False
2,switzerland,source_only,0.7565217391304347,0.9786950434292938,0.6326086956521739,0.1607487052679062,0.7565217391304347,0.1607487052679062,0.0,0.0,False
2,switzerland,pseudo_label_sfda,0.7521739130434782,0.9781875113639084,0.6369565217391304,0.1549198112354377,0.7565217391304347,0.1607487052679062,-0.004347826086956497,0.005828894032468501,True
2,switzerland,entropy_sfda,0.7521739130434784,0.9781526254397728,0.6456521739130434,0.1504411056157572,0.7565217391304347,0.1607487052679062,-0.004347826086956386,0.010307599652149002,True
2,switzerland,reliability_gated_sfda,0.7576086956521739,0.9788954484367846,0.6282608695652174,0.1640896089318943,0.7565217391304347,0.1607487052679062,0.0010869565217391797,-0.0033409036639881207,False
2,va_long_beach,source_only,0.7154230819844715,0.8792612797498622,0.6550203974207133,0.1784626394510269,0.7154230819844715,0.1784626394510269,0.0,0.0,False
2,va_long_beach,pseudo_label_sfda,0.7179234109751284,0.8797727088574729,0.6583761021186998,0.1781272663977059,0.7154230819844715,0.1784626394510269,0.002500328990656886,0.00033537305332098644,False
2,va_long_beach,entropy_sfda,0.7164758520858008,0.8788498364363619,0.6485721805500724,0.1776169641339967,0.7154230819844715,0.1784626394510269,0.0010527701013293145,0.0008456753170301978,False
2,va_long_beach,reliability_gated_sfda,0.7166074483484668,0.8799089474711554,0.6550203974207133,0.1795439888961628,0.7154230819844715,0.1784626394510269,0.0011843663639953261,-0.0010813494451359096,False
3,hungary,source_only,0.8733942191890808,0.829258584010152,0.7975712565234846,0.1382965743541717,0.8733942191890808,0.1382965743541717,0.0,0.0,False
3,hungary,pseudo_label_sfda,0.8704335608189481,0.8257632796938232,0.7934564431955038,0.1383097273117772,0.8733942191890808,0.1382965743541717,-0.002960658370132707,-1.3152957605511162e-05,True
3,hungary,entropy_sfda,0.8685768767563228,0.822047202701253,0.7878863910076275,0.1379067527826397,0.8733942191890808,0.1382965743541717,-0.004817342432757998,0.0003898215715320008,True
