source,target,seed,fold,adapt_n,test_n,target_n,mean_classifier_discrepancy,centroid_distance,positive_rate_before,positive_rate_after,entropy_before,entropy_after,probability_drift,mean_dlar_confident_fraction,mean_pseudo_positive_fraction,mean_dlar_loss,mean_lcl_loss,mean_common_neighbors,mean_lcl_pair_count
cleveland,hungary,4,4,235,59,235,0.03246723860502243,1.41195809841156,0.3361701965332031,0.3361701965332031,0.5219617486000061,0.5139102935791016,0.006163924466818571,0.06893616765737534,0.3234042525291443,0.3172669053077698,0.5817783772945404,1.5451063829787235,363.1
cleveland,hungary,4,5,236,58,236,0.033482715487480164,1.3586397171020508,0.35169491171836853,0.35169491171836853,0.5280531048774719,0.5206131935119629,0.005675097927451134,0.0855932205915451,0.33898305892944336,0.3281108796596527,0.5843579351902009,1.55635593220339,367.3
cleveland,switzerland,4,1,98,25,98,0.039816714823246,1.167750597000122,0.7040815949440002,0.7040815949440002,0.5026065111160278,0.4952183961868286,0.005509720649570227,0.10204081237316132,0.5510203838348389,0.3826740860939026,0.8888861477375031,2.16734693877551,212.4
cleveland,switzerland,4,2,98,25,98,0.03931335359811783,1.1268999576568604,0.6734693646430969,0.6632652878761292,0.5112862586975098,0.503652811050415,0.0059125469997525215,0.0714285671710968,0.5408163070678711,0.3857057332992554,0.8784203171730042,2.1275510204081636,208.5
cleveland,switzerland,4,3,98,25,98,0.036669500172138214,1.0186337232589722,0.6530612111091614,0.6428571343421936,0.5329282879829407,0.5263774394989014,0.005726341623812914,0.020408162847161293,0.5,0.4085420787334442,0.8843252539634705,2.0428571428571427,200.2
cleveland,switzerland,4,4,99,24,99,0.03731555491685867,1.1434338092803955,0.6565656661987305,0.6464646458625793,0.5195355415344238,0.5131282806396484,0.005468619056046009,0.07878787815570831,0.5050504803657532,0.39623706936836245,0.9213003218173981,2.2747474747474747,225.2
cleveland,switzerland,4,5,99,24,99,0.038903892040252686,1.178844928741455,0.6868686676025391,0.6767676472663879,0.5057346820831299,0.4986327290534973,0.005586122162640095,0.09292929321527481,0.5353535413742065,0.3809276044368744,0.8788033127784729,2.2070707070707067,218.5
cleveland,va_long_beach,4,1,160,40,160,0.030042270198464394,1.3315032720565796,0.7125000357627869,0.699999988079071,0.4909040927886963,0.4864451587200165,0.005326591432094574,0.08500000089406967,0.4950000047683716,0.39940062165260315,0.773976057767868,1.96875,315.0
cleveland,va_long_beach,4,2,160,40,160,0.030766407027840614,1.2170547246932983,0.7437500357627869,0.731249988079071,0.49752599000930786,0.4932348430156708,0.004696618299931288,0.07750000357627869,0.5,0.41820877194404604,0.7356398403644562,1.8831250000000002,301.3
cleveland,va_long_beach,4,3,160,40,160,0.031132787466049194,1.2571995258331299,0.737500011920929,0.71875,0.49464917182922363,0.49076786637306213,0.004609427414834499,0.08500000089406967,0.4937500059604645,0.42316840291023256,0.6381187975406647,1.7574999999999998,281.2
cleveland,va_long_beach,4,4,160,40,160,0.031037146225571632,1.3085551261901855,0.737500011920929,0.71875,0.4874524176120758,0.4834417402744293,0.004567313939332962,0.10375000238418579,0.5,0.41375778913497924,0.7664636969566345,2.01875,323.0
cleveland,va_long_beach,4,5,160,40,160,0.029704546555876732,1.3084807395935059,0.6937500238418579,0.6812500357627869,0.4980849325656891,0.4942818582057953,0.005289402790367603,0.07625000327825546,0.4737499952316284,0.4136815905570984,0.6993699908256531,1.8537500000000002,296.6
cleveland,hungary,5,1,235,59,235,0.06558281928300858,0.8925313353538513,0.33191487193107605,0.3361701965332031,0.6015415787696838,0.5965554118156433,0.005541088059544563,0.042553190141916275,0.3404255211353302,0.4407992780208588,0.8412880599498749,1.6387234042553191,385.1
cleveland,hungary,5,2,235,59,235,0.06643912196159363,0.9959701299667358,0.3744680881500244,0.3744680881500244,0.5925431847572327,0.5870914459228516,0.005720272660255432,0.05446808487176895,0.36595743894577026,0.43152145147323606,0.8583758473396301,1.7148936170212767,403.0
cleveland,hungary,5,3,235,59,235,0.06559394299983978,0.9484696388244629,0.32765957713127136,0.33191487193107605,0.5967566967010498,0.5915129780769348,0.0057195196859538555,0.05957446545362473,0.3361701965332031,0.4387476801872253,0.8460644304752349,1.6587234042553192,389.8
cleveland,hungary,5,4,235,59,235,0.06464707106351852,1.0116077661514282,0.35319146513938904,0.35319146513938904,0.5911247134208679,0.5857053995132446,0.005800624843686819,0.051914891600608824,0.34893617033958435,0.4291056215763092,0.8386120855808258,1.6706382978723404,392.6
cleveland,hungary,5,5,236,58,236,0.06480886787176132,0.9862135648727417,0.3644067943096161,0.3644067943096161,0.593643069267273,0.58840411901474,0.005561774130910635,0.04999999925494194,0.3644067943096161,0.4351828694343567,0.8321922123432159,1.6521186440677968,389.9
