architecture,source,target,seed,method,n,prevalence,roc_auc,average_precision,brier,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability
dual_head,hungary,va_long_beach,1,dlar_lcl,200,0.745,0.7266087643110937,0.8831931674702702,0.2325924038857151,0.2359907229244709,0.66,0.6815370443479405,0.6375838926174496,0.7254901960784313,0.545,0.5098225335776806
dual_head,hungary,va_long_beach,2,dual_head_source_only,200,0.745,0.7396367943150415,0.88817655833182,0.22963011162692765,0.23350594967603686,0.645,0.6779181471246216,0.610738255033557,0.7450980392156863,0.52,0.5124166298657655
dual_head,hungary,va_long_beach,2,dlar_lcl,200,0.745,0.7393736017897091,0.8881881950429281,0.23256476202554435,0.23588397774845363,0.64,0.681010659297276,0.5973154362416108,0.7647058823529411,0.505,0.5099793126061559
dual_head,hungary,va_long_beach,3,dual_head_source_only,200,0.745,0.7284511119884194,0.8862944508477294,0.22069284316896287,0.19382022328674792,0.65,0.6683774180813264,0.6308724832214765,0.7058823529411765,0.545,0.5517756169289351
dual_head,hungary,va_long_beach,3,dlar_lcl,200,0.745,0.7289774970390841,0.8861981641879817,0.22149731628752023,0.19106891199946405,0.65,0.6683774180813264,0.6308724832214765,0.7058823529411765,0.545,0.5539310880005359
dual_head,hungary,va_long_beach,4,dual_head_source_only,200,0.745,0.7333201737070667,0.8834286916449984,0.22100161734771526,0.19931906878948213,0.64,0.6874588761679168,0.5906040268456376,0.7843137254901961,0.495,0.5456809312105179
dual_head,hungary,va_long_beach,4,dlar_lcl,200,0.745,0.7339781550203974,0.8838112095130052,0.22349559517475867,0.20172981686890126,0.635,0.6841031714699303,0.5838926174496645,0.7843137254901961,0.49,0.5432701831310988
dual_head,hungary,va_long_beach,5,dual_head_source_only,200,0.745,0.7434530859323595,0.8860306522656628,0.20357823218141313,0.19148669451475142,0.675,0.6980523753125412,0.6510067114093959,0.7450980392156863,0.55,0.5553657002747059
dual_head,hungary,va_long_beach,5,dlar_lcl,200,0.745,0.7437162784576918,0.8861608054344328,0.20483275737720355,0.19231940209865567,0.675,0.6980523753125412,0.6510067114093959,0.7450980392156863,0.55,0.5544470128417015
dual_head,hungary,va_long_beach,6,dual_head_source_only,200,0.745,0.7223976839057771,0.8800852681994952,0.24978681618513585,0.280855380371213,0.605,0.6639689432820108,0.5436241610738255,0.7843137254901961,0.46,0.46512725062668325
