architecture,source,target,seed,method,n,prevalence,roc_auc_recomputed,average_precision,brier_recomputed,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability,roc_auc_frozen,brier_frozen,source_roc_auc,source_brier,adapted_auc_diff,adapted_brier_diff
single_head,hungary,va_long_beach,1,pseudo_label_sfda,200,0.745,0.7471377812870115,0.8868428831479511,0.21933711038220874,0.18627620192244645,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5730666902475059,0.7471377812870115,0.2193371103822087,0.7451638373470193,0.2214777171611786,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,1,entropy_sfda,200,0.745,0.7451638373470193,0.8862028698875531,0.23392932847721737,0.20913833344355223,0.65,0.6812738518226082,0.6174496644295302,0.7450980392156863,0.525,0.5545729062519967,0.7451638373470193,0.2339293284772173,0.7451638373470193,0.2214777171611786,0.0,5.551115123125783e-17
single_head,hungary,va_long_beach,1,reliability_gated_sfda,200,0.745,0.7452954336096854,0.8855907927004639,0.2240809854768414,0.2091682613454759,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5545891999639571,0.7452954336096854,0.2240809854768414,0.7451638373470193,0.2214777171611786,0.0,0.0
single_head,hungary,va_long_beach,1,conservative_candidate,200,0.745,0.7456902223976838,0.8859442333504561,0.22131990659778158,0.21307484969496726,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5570280186086893,0.7456902223976838,0.2213199065977815,0.7451638373470193,0.2214777171611786,0.0,8.326672684688674e-17
single_head,hungary,va_long_beach,2,pseudo_label_sfda,200,0.745,0.7380576391630478,0.8866914653016789,0.2164052376654356,0.19599457942880694,0.685,0.6789709172259508,0.6912751677852349,0.6666666666666666,0.6,0.5983511764463038,0.7380576391630478,0.2164052376654356,0.7380576391630478,0.2193761467933654,0.0,0.0
single_head,hungary,va_long_beach,2,entropy_sfda,200,0.745,0.7418739307803659,0.8880691711595714,0.2307019184932517,0.2076732475683093,0.67,0.6818002368732728,0.6577181208053692,0.7058823529411765,0.565,0.5756653361395001,0.7418739307803659,0.2307019184932517,0.7380576391630478,0.2193761467933654,0.0,0.0
single_head,hungary,va_long_beach,2,reliability_gated_sfda,200,0.745,0.7385840242137123,0.886935408066658,0.22237206288209024,0.19789263557642703,0.66,0.6750888274772997,0.6442953020134228,0.7058823529411765,0.555,0.574696777947247,0.7385840242137123,0.2223720628820902,0.7380576391630478,0.2193761467933654,0.0,5.551115123125783e-17
single_head,hungary,va_long_beach,2,conservative_candidate,200,0.745,0.7375312541123832,0.8870642672905955,0.21870872000898095,0.19226117295213044,0.66,0.6750888274772997,0.6442953020134228,0.7058823529411765,0.555,0.5799192263465375,0.7375312541123832,0.2187087200089809,0.7380576391630478,0.2193761467933654,0.0,5.551115123125783e-17
single_head,hungary,va_long_beach,3,pseudo_label_sfda,200,0.745,0.7456902223976839,0.8889505033227103,0.2180149885506838,0.19731998161412775,0.68,0.7014080800105278,0.6577181208053692,0.7450980392156863,0.555,0.5832055960502476,0.7456902223976839,0.2180149885506837,0.7433214896696934,0.2188245356082916,0.0,8.326672684688674e-17
single_head,hungary,va_long_beach,3,entropy_sfda,200,0.745,0.7437162784576917,0.8884602863605322,0.2344833281168194,0.2169068208243698,0.665,0.6913409659165679,0.6375838926174496,0.7450980392156863,0.54,0.5573670026753098,0.7437162784576917,0.2344833281168193,0.7433214896696934,0.2188245356082916,0.0,1.1102230246251565e-16
single_head,hungary,va_long_beach,3,reliability_gated_sfda,200,0.745,0.7430582971443611,0.8885560537325985,0.22183765743746733,0.21624160394072536,0.67,0.6946966706145545,0.6442953020134228,0.7450980392156863,0.545,0.5641545797884464,0.7430582971443611,0.2218376574374673,0.7433214896696934,0.2188245356082916,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,3,conservative_candidate,200,0.745,0.7437162784576917,0.888823379898396,0.21792046173331742,0.20873694960027936,0.67,0.6946966706145545,0.6442953020134228,0.7450980392156863,0.545,0.5692335372790694,0.7437162784576917,0.2179204617333174,0.7433214896696934,0.2188245356082916,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,4,pseudo_label_sfda,200,0.745,0.7427951046190289,0.8859304330615339,0.2315327402842465,0.21279937393032017,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5551080285850912,0.7427951046190289,0.2315327402842465,0.7435846821950256,0.2352029979228973,0.0,0.0
single_head,hungary,va_long_beach,4,entropy_sfda,200,0.745,0.7427951046190288,0.8861308429414546,0.24997516405062847,0.24725782623514536,0.64,0.6745624424266351,0.6040268456375839,0.7450980392156863,0.515,0.5304079014994204,0.7427951046190288,0.2499751640506284,0.7435846821950256,0.2352029979228973,0.0,8.326672684688674e-17
single_head,hungary,va_long_beach,4,reliability_gated_sfda,200,0.745,0.7426635083563626,0.8870508716772272,0.23781999430195447,0.22784081029705702,0.64,0.6745624424266351,0.6040268456375839,0.7450980392156863,0.515,0.5346821738500148,0.7426635083563626,0.2378199943019544,0.7435846821950256,0.2352029979228973,0.0,5.551115123125783e-17
single_head,hungary,va_long_beach,4,conservative_candidate,200,0.745,0.742005527043032,0.8867627214739306,0.23434058303891953,0.2240106492582709,0.64,0.6745624424266351,0.6040268456375839,0.7450980392156863,0.515,0.5385578185971827,0.742005527043032,0.2343405830389195,0.7435846821950256,0.2352029979228973,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,5,pseudo_label_sfda,200,0.745,0.7408211606790367,0.8856120468474961,0.23208699900332888,0.21606939430348573,0.65,0.6748256349519673,0.6241610738255033,0.7254901960784313,0.535,0.5487201750744134,0.7408211606790367,0.2320869990033288,0.740163179365706,0.2281497567892074,0.0,8.326672684688674e-17
single_head,hungary,va_long_beach,5,entropy_sfda,200,0.745,0.74003158310304,0.8858510480287232,0.24592259833967092,0.23966190565377468,0.655,0.6910777733912357,0.6174496644295302,0.7647058823529411,0.52,0.5329341084882617,0.74003158310304,0.2459225983396709,0.740163179365706,0.2281497567892074,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,5,reliability_gated_sfda,200,0.745,0.7406895644163707,0.885901392971418,0.23047473315287884,0.2064120987057686,0.66,0.6944334780892223,0.6241610738255033,0.7647058823529411,0.525,0.5442252287268639,0.7406895644163707,0.2304747331528788,0.740163179365706,0.2281497567892074,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,5,conservative_candidate,200,0.745,0.7402947756283721,0.885652079992821,0.22713508898862586,0.19676615146920087,0.66,0.6879852612185814,0.6308724832214765,0.7450980392156863,0.535,0.5482338485307992,0.7402947756283721,0.2271350889886258,0.740163179365706,0.2281497567892074,0.0,5.551115123125783e-17
single_head,hungary,va_long_beach,6,pseudo_label_sfda,200,0.745,0.7433214896696934,0.8846753887969929,0.21616314986875382,0.19371152413077658,0.68,0.6949598631398868,0.6644295302013423,0.7254901960784313,0.565,0.5701895211916417,0.7433214896696934,0.2161631498687537,0.7443742597710223,0.2115166783332824,0.0,1.1102230246251565e-16
single_head,hungary,va_long_beach,6,entropy_sfda,200,0.745,0.7413475457297013,0.8844671595456185,0.2287962062469083,0.20841760924085975,0.675,0.6916041584419003,0.6577181208053692,0.7254901960784313,0.56,0.5569823796488345,0.7413475457297013,0.2287962062469083,0.7443742597710223,0.2115166783332824,0.0,0.0
single_head,hungary,va_long_beach,6,reliability_gated_sfda,200,0.745,0.7438478747203578,0.8848261156948152,0.2146893393006813,0.19373519867658617,0.68,0.6949598631398868,0.6644295302013423,0.7254901960784313,0.565,0.564635338485241,0.7438478747203578,0.2146893393006813,0.7443742597710223,0.2115166783332824,0.0,0.0
