architecture,source,target,direction,seed,method,method_label,n,prevalence,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate,mean_probability,tn,fp,fn,tp
dual_head,hungary,cleveland,Hungary -> Cleveland,0,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.8052805280528053,0.794898227759256,0.8773584905660378,0.6690647482014388,0.9207317073170732,0.7591836734693878,0.616233688340738,0.8712493419898227,0.8643130877964724,0.15006881331970753,0.1039579755353062,0.34983498349834985,0.4043475908562295,151,13,46,93
dual_head,hungary,cleveland,Hungary -> Cleveland,0,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.8052805280528053,0.794898227759256,0.8773584905660378,0.6690647482014388,0.9207317073170732,0.7591836734693878,0.616233688340738,0.8709422705737848,0.8639674384854229,0.1496510439092477,0.10069448036132471,0.34983498349834985,0.4027016939404774,151,13,46,93
dual_head,hungary,cleveland,Hungary -> Cleveland,1,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.768976897689769,0.7564265660642218,0.8484848484848485,0.60431654676259,0.9085365853658537,0.7058823529411765,0.5448659333355749,0.8624320056150201,0.847182602007422,0.15855283337819046,0.09514159205132978,0.32673267326732675,0.37160876737569426,149,15,55,84
dual_head,hungary,cleveland,Hungary -> Cleveland,1,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.7656765676567657,0.7528294437620635,0.8469387755102041,0.5971223021582733,0.9085365853658537,0.70042194092827,0.5386380145573301,0.8622565362344271,0.8472268649856785,0.15860248311813432,0.10825549369745523,0.3234323432343234,0.36860555709146037,149,15,56,83
dual_head,hungary,cleveland,Hungary -> Cleveland,2,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.7755775577557755,0.7619757852254782,0.8736842105263158,0.5971223021582733,0.926829268292683,0.7094017094017094,0.562764897476101,0.8703281277417091,0.8663481581598853,0.1550050569416693,0.07995292841896366,0.31353135313531355,0.3789815871481455,152,12,56,83
dual_head,hungary,cleveland,Hungary -> Cleveland,2,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.7755775577557755,0.7619757852254782,0.8736842105263158,0.5971223021582733,0.926829268292683,0.7094017094017094,0.562764897476101,0.8703719950868573,0.8660551617509565,0.15467894779222952,0.08269341221146853,0.31353135313531355,0.37729550366944603,152,12,56,83
dual_head,hungary,cleveland,Hungary -> Cleveland,3,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.801980198019802,0.792946130900158,0.8558558558558559,0.6834532374100719,0.9024390243902439,0.76,0.6059474783344345,0.8666432707492544,0.8572101484201116,0.1499633291122064,0.07116225002819163,0.36633663366336633,0.43427813943266474,148,16,44,95
dual_head,hungary,cleveland,Hungary -> Cleveland,3,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.8085808580858086,0.8001403755044745,0.8584070796460177,0.697841726618705,0.9024390243902439,0.7698412698412699,0.6185398990724811,0.8663800666783648,0.8580594189810099,0.14931123916633238,0.0699924556384779,0.37293729372937295,0.43422830471209567,148,16,42,97
dual_head,hungary,cleveland,Hungary -> Cleveland,4,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.7887788778877888,0.7780092998771715,0.8571428571428571,0.6474820143884892,0.9085365853658537,0.7377049180327869,0.5822257368517296,0.8614669240217583,0.8629657757683942,0.15352730644876086,0.06811504641381821,0.3465346534653465,0.45057140512041527,149,15,49,90
dual_head,hungary,cleveland,Hungary -> Cleveland,4,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.7887788778877888,0.7785576416915249,0.8504672897196262,0.6546762589928058,0.9024390243902439,0.7398373983739838,0.5808372656688111,0.8615546587120547,0.8633757792874693,0.1528059736588589,0.07221414861899396,0.35313531353135313,0.4523776628003262,148,16,48,91
dual_head,hungary,cleveland,Hungary -> Cleveland,5,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.801980198019802,0.792946130900158,0.8558558558558559,0.6834532374100719,0.9024390243902439,0.76,0.6059474783344345,0.8505000877346902,0.8503858447055704,0.16155754844484344,0.09333639653405733,0.36633663366336633,0.43432665426935696,148,16,44,95
dual_head,hungary,cleveland,Hungary -> Cleveland,5,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.7986798679867987,0.789897350412353,0.8482142857142857,0.6834532374100719,0.8963414634146342,0.7569721115537849,0.5985189024807679,0.8505878224249869,0.8501186075874961,0.160715769886865,0.08571224332642632,0.3696369636963696,0.43233398586609967,147,17,44,95
dual_head,hungary,cleveland,Hungary -> Cleveland,6,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.7557755775577558,0.7381996841551148,0.9012345679012346,0.5251798561151079,0.9512195121951219,0.6636363636363637,0.5363910273435976,0.8670380768555888,0.8615771390911934,0.16997842522744652,0.121080912551274,0.26732673267326734,0.3436272973225455,156,8,66,73
dual_head,hungary,cleveland,Hungary -> Cleveland,6,dlar_lcl,DLAR-LCL,303,0.45874587458745875,0.7557755775577558,0.7381996841551148,0.9012345679012346,0.5251798561151079,0.9512195121951219,0.6636363636363637,0.5363910273435976,0.8670380768555888,0.8603073962223178,0.168869141222758,0.11996979989332725,0.26732673267326734,0.34394382400186146,156,8,66,73
dual_head,hungary,cleveland,Hungary -> Cleveland,7,dual_head_source_only,Dual-head source-only,303,0.45874587458745875,0.7920792079207921,0.7810580803649763,0.8653846153846154,0.6474820143884892,0.9146341463414634,0.7407407407407407,0.5899459005843126,0.8598438322512721,0.8516471254801533,0.15693590773711222,0.06701639614286202,0.3432343234323432,0.40920510568437796,150,14,49,90
